VE2ACNUTCOC40M230320171126.wav:  Ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
VO2ACNUTCOC40M230320171127.wav:  A
PR1ACNUTCOC40M230320171129.wav:  Pipa, buco, topo, dado, casa, gatto, filo, vaso, muro, neve, luna, rete, zero, scia, ciao. Ciro, sole, uomo, iuta, gnomo, iero, pozzo, brodo, plagio, treno, classe, grigio, flotta, greta, drago. Frate, spesa, stufa, scala, slitta, splende, strada, scrive, spruzzo, sgrido. Sgregio, sdraio, sbrigo, prova, calendario, autobiografia, monotono, pericoloso, montagnoso, prestigioso.
D2ACNUTCOC40M230320171124.wav:  Ta, ta, ta, ta, ta.
B1ACNUTCOC40M230320171121.wav:  Il ramarro della zia, il papà o il babbo come dice il piccolo dado, era sul letto. Sotto di lui, accanto al lago, sedeva Gigi detto ciccio cocco della mamma e della nonna. Vicino ad un sasso c'era una rosa rosso vivo e lo sciocco, vedendola, la volle per zia. La zia Lulu cercava zanzare per il suo ramarro, ma dato che era giugno o luglio non so bene, non ne trovava. Trovò invece una rana che saltando dalla strada finì nel lago con un grande spruzzo. Sai che fifa la zia, lo schizzo bagnò il suo completo rosa che divenne giallo come un taxi. Passava di lì un signore cosmopolita di nome Sardana Palo. Nabucco Donor Donosor che si innamorò della zia e la portò con sé in Afghanistan.
VU2ACNUTCOC40M230320171128.wav:  OM
VA2ACNUTCOC40M230320171125.wav:  A
VI1ACNUTCOC40M230320171126.wav: 
VO1ACNUTCOC40M230320171127.wav:  OM
D1ACNUTCOC40M230320171124.wav:  Pa, pa, pa, pa, pa, pa.
VE1ACNUTCOC40M230320171126.wav:  E
VI2ACNUTCOC40M230320171126.wav:  Grazie a tutti.
FB1ACNUTCOC40M230320171130.wav:  Oggi è una bella giornata per sciare. Voglio una maglia di lana color ocra. Il motociclista attraversò una strada stretta di montagna. Patrizia ha pranzato a casa di Fabio. Questo è il tuo cappello? Dopo vieni a casa. La televisione funziona? Non posso aiutarti? Marco non è partito. Il medico non è impegnato.
VU1ACNUTCOC40M230320171128.wav:  O
VA1ACNUTCOC40M230320171125.wav:  Aaaaaah
B2ACNUTCOC40M230320171123.wav:  Il ramarro della zia. Il papà o il babbo come dice il piccolo dado era sul letto sotto di lui accanto al lago sedeva Gigi detto ciccio cocco di mamma e della nonna. Vicino ad un sasso c'era una rosa rosso vivo e lo sciocco vedendola la volle per la zia. La zia Lulu cercava zanzare per il suo ramarro ma dato che era giugno o luglio non so bene non ne trovava. Trovò invece una rana che saltellando dalla strada finì nel lago con un grande spruzzo. Sai che fifa la zia. Lo schizzò, bagnò il suo completo di rosa e divenne giallo come un taxi. Passava di lì un signore cosmopolita di nome Sardana Palo. Dono Dono Soros che si innamorò della zia e la portò con sé in Afghanistan.
